Time of Day,Activity,Age,Heart Rate,Weather,Day of Week,Recent Events,Battery Status,Sleep Score,Daily Activity,Sleep,Running,Swimming,Calories Burn,Heart Rate (show),Steps,Consumed,Weather (show),Chance of Rain,Events,Battery
Night,Running,15,175,Rainy,Weekday,YES,50,4,1,1,1,0,1,1,1,0,1,1,1,0
Morning,Running,98,161,Rainy,Holiday,YES,20,93,1,0,1,0,1,1,1,0,1,1,1,0
Night,Driving,48,46,Rainy,Holiday,NO,55,41,1,1,0,0,0,1,0,0,1,1,0,0
Night,Walking,69,43,Cold,Weekday,YES,81,45,1,1,0,0,1,1,1,0,1,0,1,0
Morning,Resting,37,42,Clear,Weekday,NO,2,50,0,1,0,0,0,1,0,0,0,0,0,1
Morning,Walking,63,164,Clear,Holiday,YES,25,79,1,0,0,0,1,1,1,0,0,0,1,0
Night,Walking,46,157,Clear,Weekday,YES,13,28,1,1,0,0,1,1,1,0,0,0,1,1
Noon,Running,18,73,Clear,Holiday,NO,92,42,1,1,1,0,1,0,1,0,0,0,0,0
Night,Walking,91,148,Clear,Holiday,NO,70,80,1,0,0,0,1,1,1,0,0,0,0,0
Night,Swimming,65,172,Clear,Weekday,YES,67,76,1,0,0,1,1,1,0,0,0,0,1,0
Night,Running,68,48,Clear,Weekday,NO,58,69,1,0,1,0,1,1,1,0,0,0,0,0
Night,Swimming,94,92,Clear,Holiday,NO,99,98,1,0,0,1,1,0,0,0,0,0,0,0
Morning,Resting,11,192,Cold,Holiday,YES,82,1,0,1,0,0,0,1,0,0,1,0,1,0
Night,Running,70,110,Clear,Holiday,YES,75,39,1,1,1,0,1,1,1,0,0,0,1,0
Noon,Resting,67,192,Cold,Weekday,YES,84,96,0,0,0,0,0,1,0,1,1,0,1,0
Morning,Running,69,176,Rainy,Holiday,NO,64,90,1,0,1,0,1,1,1,0,1,1,0,0
Noon,Driving,49,177,Clear,Holiday,NO,69,17,1,1,0,0,0,1,0,0,0,0,0,0
Noon,Walking,45,129,Rainy,Holiday,NO,83,91,1,0,0,0,1,1,1,0,1,1,0,0
Noon,Driving,46,192,Rainy,Holiday,NO,86,88,1,0,0,0,0,1,0,0,1,1,0,0
Noon,Resting,88,189,Rainy,Holiday,YES,59,35,0,1,0,0,0,1,0,1,1,1,1,0
Morning,Walking,27,151,Cold,Weekday,NO,60,46,1,1,0,0,1,1,1,0,1,0,0,0
Morning,Running,72,73,Rainy,Holiday,YES,83,42,1,1,1,0,1,0,1,0,1,1,1,0
Noon,Walking,31,133,Rainy,Holiday,NO,62,39,1,1,0,0,1,1,1,0,1,1,0,0
Noon,Swimming,20,181,Rainy,Holiday,YES,16,90,1,0,0,1,1,1,0,0,1,1,1,1
Morning,Walking,67,90,Clear,Holiday,YES,88,49,1,1,0,0,1,0,1,0,0,0,1,0
Morning,Swimming,66,154,Clear,Weekday,YES,68,62,1,0,0,1,1,1,0,0,0,0,1,0
Morning,Walking,86,174,Cold,Weekday,NO,15,38,1,1,0,0,1,1,1,0,1,0,0,1
Night,Swimming,13,100,Cold,Weekday,YES,89,23,1,1,0,1,1,0,0,0,1,0,1,0
Night,Resting,95,136,Clear,Holiday,YES,55,22,0,1,0,0,0,1,0,1,0,0,1,0
Night,Driving,16,79,Cold,Holiday,NO,35,4,1,1,0,0,0,0,0,0,1,0,0,0
Noon,Running,70,94,Clear,Weekday,YES,55,49,1,1,1,0,1,0,1,0,0,0,1,0
Night,Walking,63,128,Rainy,Weekday,NO,14,59,1,1,0,0,1,1,1,0,1,1,0,1
Noon,Driving,97,61,Rainy,Weekday,NO,49,73,1,0,0,0,0,0,0,0,1,1,0,0
Noon,Running,77,193,Cold,Holiday,YES,83,68,1,0,1,0,1,1,1,0,1,0,1,0
Night,Running,88,170,Clear,Holiday,YES,100,71,1,0,1,0,1,1,1,0,0,0,1,0
Noon,Swimming,10,87,Clear,Weekday,NO,7,87,1,0,0,1,1,0,0,0,0,0,0,1
Night,Resting,64,157,Cold,Weekday,YES,30,2,0,1,0,0,0,1,0,1,1,0,1,0
Night,Resting,12,171,Clear,Weekday,NO,83,49,0,1,0,0,0,1,0,1,0,0,0,0
Morning,Driving,87,194,Rainy,Holiday,NO,49,88,1,0,0,0,0,1,0,0,1,1,0,0
Night,Resting,47,141,Cold,Holiday,NO,89,95,0,0,0,0,0,1,0,1,1,0,0,0
Morning,Walking,10,97,Cold,Holiday,YES,16,31,1,1,0,0,1,0,1,0,1,0,1,1
Night,Resting,47,69,Clear,Weekday,NO,51,40,0,1,0,0,0,0,0,1,0,0,0,0
Night,Driving,94,173,Cold,Weekday,YES,72,48,1,1,0,0,0,1,0,0,1,0,1,0
Morning,Resting,38,161,Clear,Holiday,YES,82,51,0,1,0,0,0,1,0,0,0,0,1,0
Morning,Walking,14,119,Clear,Weekday,YES,92,43,1,1,0,0,1,1,1,0,0,0,1,0
Night,Swimming,83,57,Clear,Holiday,YES,80,98,1,0,0,1,1,1,0,0,0,0,1,0
Noon,Driving,30,125,Clear,Weekday,NO,83,55,1,1,0,0,0,1,0,0,0,0,0,0
